sondering_id,index,pkey_sondering,sondeernummer,x,y,start_sondering_mtaw,diepte_sondering_tot,diepte,diepte_mtaw,qc,fs,qtn,rf,fr,icn,sbt,ksbt,lithostrat_id,dist
4614,313767,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.84,38.879999999999995,12.532,0.286,83.16522910910251,2.2821576763485476,2.343656871883038,2.22046,5.0,1.5915e-06,Lede,0.0
4614,313768,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.85,38.87,12.531,0.286,83.1088747062316,2.282339797302689,2.3438882876864646,2.220696,5.0,1.5889e-06,Lede,0.0
4614,313769,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.86,38.86,12.541,0.285,83.15460353012034,2.2725460489594127,2.3338193837473438,2.219191,5.0,1.6057e-06,Lede,0.0
4614,313770,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.87,38.849999999999994,12.55,0.285,83.17473883982274,2.270916334661354,2.332139719148583,2.218894,5.0,1.609e-06,Lede,0.0
4614,313771,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.88,38.84,12.57,0.285,83.27885285715702,2.267303102625298,2.3283681586960805,2.218012,5.0,1.619e-06,Lede,0.0
4614,313772,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.89,38.83,12.614,0.285,83.56616850563138,2.2593943237672427,2.3200670970850306,2.215857,5.0,1.6436e-06,Lede,0.0
4614,313773,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.9,38.82,12.622,0.284,83.59679612629816,2.250039613373475,2.3104603473394993,2.214457,5.0,1.6598e-06,Lede,0.0
4614,313774,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.91,38.81,12.63,0.283,83.62749584947746,2.2406967537608864,2.3008657674356057,2.213053,5.0,1.6762e-06,Lede,0.0
4614,313775,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.92,38.8,12.637,0.277,83.74374747381754,2.1919759436575137,2.2508405890455476,2.205816,5.0,1.7633e-06,Lede,0.0
4614,313776,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.93,38.79,12.673,0.273,84.04625137246376,2.154186064862306,2.2119037653305704,2.19932,5.0,1.8453e-06,Lede,0.0
4614,313777,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.94,38.78,12.673,0.27,84.05552944436054,2.1305136905231596,2.1876333274127604,2.195879,5.0,1.8903e-06,Lede,0.0
4614,313778,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.95,38.769999999999996,12.693,0.265,84.25793158736276,2.0877649097927993,2.1436832605294507,2.18889,5.0,1.9851e-06,Lede,0.0
4614,313779,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.96,38.76,12.709,0.258,84.47232566115466,2.0300574396097253,2.0843941826338583,2.179493,5.0,2.12e-06,Lede,0.0
4614,313780,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.97,38.75,12.725,0.254,84.62886533222878,1.9960707269155207,2.0494624610863434,2.173746,5.0,2.207e-06,Lede,0.0
4614,313781,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.98,38.739999999999995,12.776,0.247,85.11937642492447,1.9333124608641203,1.9848459938308762,2.162176,5.0,2.3932e-06,Lede,0.0
4614,313782,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,16.99,38.730000000000004,12.78,0.245,85.14519415856931,1.9170579029733958,1.9681738583199677,2.159513,5.0,2.4383e-06,Lede,0.0
4614,313783,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.0,38.72,12.784,0.244,85.1499183831938,1.9086357947434291,1.959542796163463,2.158158,5.0,2.4615e-06,Lede,0.0
4614,313784,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.01,38.709999999999994,12.816,0.244,85.34853845529028,1.9038701622971284,1.9545516886434535,2.15666,5.0,2.4874e-06,Lede,0.0
4614,313785,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.02,38.7,12.816,0.244,85.30102128381053,1.9038701622971284,1.9545834875638552,2.156837,5.0,2.4844e-06,Lede,0.0
4614,313786,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.03,38.69,12.808,0.245,85.17046797922613,1.9128669581511555,1.9638845830432219,2.158757,5.0,2.4512e-06,Lede,0.0
4614,313787,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.04,38.68,12.806,0.245,85.10769686111695,1.9131657035764484,1.9642314673048171,2.159039,5.0,2.4464e-06,Lede,0.0
4614,313788,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.05,38.67,12.805,0.246,85.03107941647868,1.9211245607184693,1.9724390054197336,2.160587,5.0,2.42e-06,Lede,0.0
4614,313789,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.06,38.66,12.806,0.247,84.96990118034157,1.9287833827893175,1.9803305365249935,2.162026,5.0,2.3957e-06,Lede,0.0
4614,313790,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.07,38.65,12.807,0.247,84.93018170919133,1.928632778949012,1.9802040391029168,2.162151,5.0,2.3937e-06,Lede,0.0
4614,313791,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.08,38.64,12.81,0.247,84.90583048647676,1.928181108508977,1.9797601427093117,2.162172,5.0,2.3933e-06,Lede,0.0
4614,313792,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.09,38.629999999999995,12.816,0.247,84.9044536898416,1.9272784019975029,1.9788407267041304,2.162035,5.0,2.3956e-06,Lede,0.0
4614,313793,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.1,38.62,12.863,0.247,85.2171025950579,1.9202363367799113,1.9714495218746644,2.159758,5.0,2.4341e-06,Lede,0.0
4614,313794,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.11,38.61,12.915,0.247,85.56801091606567,1.9125048393341078,1.9633327191521506,2.157229,5.0,2.4776e-06,Lede,0.0
4614,313795,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.12,38.599999999999994,13.006,0.247,86.21776426836617,1.8991234814700906,1.9492645418571506,2.152697,5.0,2.5574e-06,Lede,0.0
4614,313796,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.13,38.59,13.113,0.241,87.12460727122242,1.837870815221536,1.8860183240619857,2.139422,5.0,2.8064e-06,Lede,0.0
4614,313797,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.14,38.58,13.22,0.235,88.03777276877456,1.7776096822995457,1.8238204953768784,2.126016,5.0,3.0826e-06,Lede,0.0
4614,313798,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.15,38.57,13.323,0.228,88.95087354220742,1.7113262778653455,1.7554885462492091,2.111266,5.0,3.4178e-06,Lede,0.0
4614,313799,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.16,38.56,13.355,0.22,89.348332886071,1.6473230999625605,1.6897554527337753,2.098402,5.0,3.7399e-06,Lede,0.0
4614,313800,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.17,38.55,13.24,0.21,88.66691596456293,1.5861027190332326,1.6273476284712596,2.08958,5.0,3.9781e-06,Lede,0.0
4614,313801,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.18,38.54,13.137,0.197,88.16873128422553,1.4995813351602345,1.538914231660586,2.07483,5.0,4.4108e-06,Lede,0.0
4614,313802,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.19,38.53,13.034,0.182,87.7457490225715,1.3963480128893662,1.4332928074053741,2.055562,5.0,5.0477e-06,Lede,0.0
4614,313803,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.2,38.519999999999996,12.954,0.177,87.22457882519502,1.366373320981936,1.4027764197499262,2.051244,5.0,5.2026e-06,Lede,0.0
4614,313804,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.21,38.51,12.891,0.176,86.71883038966328,1.3652936157008764,1.4018727353277503,2.052942,5.0,5.1411e-06,Lede,0.0
4614,313805,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.22,38.5,12.871,0.176,86.51887380265816,1.3674151192603525,1.404131865744899,2.054155,5.0,5.0976e-06,Lede,0.0
4614,313806,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.23,38.489999999999995,12.855,0.176,86.3501993527028,1.3691170750680668,1.4059488967503897,2.055161,5.0,5.0619e-06,Lede,0.0
4614,313807,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.24,38.480000000000004,12.839,0.176,86.18164387920662,1.3708232728405638,1.4077706360062088,2.056169,5.0,5.0263e-06,Lede,0.0
4614,313808,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.25,38.47,12.788,0.176,85.74115740372291,1.3762902721301218,1.4135595569508628,2.059016,5.0,4.9271e-06,Lede,0.0
4614,313809,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.26,38.459999999999994,12.673,0.176,84.80427565558249,1.3887792945632447,1.4267604197364026,2.065264,5.0,4.7163e-06,Lede,0.0
4614,313810,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.27,38.45,12.495,0.179,83.2953141636785,1.4325730292116847,1.4723496200712207,2.080181,5.0,4.2486e-06,Lede,0.0
4614,313811,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.28,38.44,12.34,0.186,81.86220258188294,1.5072933549432739,1.549710888374354,2.100666,5.0,3.6811e-06,Lede,0.0
4614,313812,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.29,38.43,12.249,0.196,80.85734494582626,1.6001306229079926,1.6455324471708028,2.122191,5.0,3.1662e-06,Lede,0.0
4614,313813,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.3,38.42,12.206,0.207,80.21171768522412,1.6958872685564477,1.7442099608185408,2.141934,5.0,2.7575e-06,Lede,0.0
4614,313814,https://www.dov.vlaanderen.be/data/sondering/2018-079611,2017-11245-S3B-003,147850.66,177713.06,55.72,18.98,17.31,38.41,12.261,0.218,80.32669910516742,1.77799526955387,1.8284547676180078,2.155513,5.0,2.5075e-06,Lede,0.0
