feature,importance_mean,importance_std
diepte_mtaw_whole_trimmed_mean,0.03322514904710314,0.006950093819177077
diepte_q90,0.03231995163267678,0.00620068829783756
diepte_mtaw_whole_mean,0.030661298102517366,0.006290875907776542
diepte_mtaw_whole_q10,0.03026328318821936,0.005548474034883509
diepte_mtaw_median,0.026958350720143277,0.0059500311178700156
diepte_mtaw_q90,0.026117382835017456,0.006640644728014253
qc_q50,0.024623198443179152,0.0013820327588273712
diepte_mtaw_whole_q01,0.023514633539021744,0.0007417402162781385
diepte_mtaw_whole_q99,0.02203567024965374,0.0009470388189003495
diepte_mtaw_q99,0.020862042243090694,0.005671345413099152
diepte_mtaw_whole_q90,0.02075930966311399,0.0004777803069025404
qtn_trimmed_mean,0.020599942777957226,0.005243661442324221
diepte_mtaw_whole_cv,0.02011619931961859,0.0012210502829854248
diepte_mtaw_q10,0.019898591897549233,0.0004965889104287894
diepte_mtaw_min,0.019576630847132126,0.00040496729491640765
qtn_max,0.018880294534906826,0.00487904791987688
diepte_mtaw_whole_max,0.01872659250035593,0.0005082081286626287
diepte_mtaw_whole_q50,0.018530499213661365,0.0006089607856611674
diepte_mtaw_mean,0.01802969273494002,0.001039652215630287
fs_q10,0.0171278502068259,0.00576108141343215
diepte_whole_iqr,0.016515268658625605,0.00528288086695626
diepte_mtaw_whole_median,0.016498492172002898,0.0003584890680971032
diepte_q99,0.01639275074795754,0.000711491797874939
diepte_q01,0.016345111345032894,0.0009253343694430121
qc_min,0.015908164004393453,0.006598891349499288
diepte_mtaw_whole_min,0.015548621415211628,0.0002430073691080391
qc_iqr,0.015239704862971836,0.00042334718404808707
diepte_min,0.014639438472124256,0.00678877852232737
qc_q99,0.014547690176225037,0.005881689134915617
fs_q50,0.014502208798833016,0.006572992549353473
qc_q01,0.013752573227843002,0.0004894002774237572
qc_q10,0.01374905445617396,0.0056752881724696615
qc_trimmed_mean,0.013735976353313828,0.005455559381012329
diepte_mtaw_max,0.013261646212953893,0.006839331795335777
rf_cv,0.013141758246972769,0.005260498005208993
diepte_mean,0.012874366156212647,0.006688832887082705
qc_q90,0.012834094260762851,0.005778653029056329
diepte_mtaw_q01,0.012729448181528014,0.0058838910024044825
diepte_max,0.012714255046434064,0.00040176096922194324
diepte_q10,0.012453864045531149,0.00034953466353931733
qc_max,0.012323230137351726,0.0004366976748793664
diepte_trimmed_mean,0.011886354517222152,0.0006991331678946143
diepte_cv,0.011865646636028005,0.0007683439537338877
qtn_q01,0.011568234895991014,0.007093226847421708
diepte_mtaw_trimmed_mean,0.011553275153330222,0.0007734417186665713
qc_mean,0.011499919303271499,0.0011846783738622317
diepte_mtaw_cv,0.010463036240559286,0.0008974525236616175
qc_median,0.010341090049681178,0.0007310868270636209
rf_median,0.0101994003792391,0.000700875524178846
qtn_mean,0.010165713392130482,0.0003199232125308359
qtn_q90,0.010040114734323202,0.0009039699819074863
qtn_q99,0.009852038752344838,0.005246157145391212
fr_q50,0.009768749827349942,0.000369505783669003
diepte_whole_entropy,0.009408529706054792,0.0009197666983208493
fr_mean,0.009106727014512251,0.00034235739545672927
fs_min,0.008874730199886405,0.0006718486587998848
rf_mean,0.008799561033179892,0.00039665906541664486
rf_q10,0.008741881505589322,0.000350238018370104
fs_q90,0.008654140239553309,0.0003841145135180986
fs_q01,0.008457323872090883,0.00042312684813258295
diepte_whole_median,0.008430578673756317,0.006280587535857128
qtn_q50,0.008284306064229741,0.005377296121573353
qc_p99,0.007619215126098089,0.010544142447659806
fr_q01,0.007608072445501235,0.000561048814977851
fs_max,0.0075037963118758984,0.0007415803735012872
fr_q90,0.00745316987094784,0.0004776270547903164
diepte_mtaw_q50,0.0070559091455484335,0.0053921552438009
diepte_whole_kurtosis,0.00695779760855324,0.000379654334969603
rf_trimmed_mean,0.00653253369490725,0.005642842786549841
fs_mean,0.006488221347973888,0.000473929650579808
diepte_whole_cv,0.006417346831004011,0.00039791165623179626
fr_q10,0.006377111521723688,0.005477367561269795
diepte_q50,0.006337409631347923,0.006599695404786281
diepte_whole_valid_n,0.006330738172332828,0.001040322233199388
fr_min,0.006282741304087414,0.0004581953239266846
rf_q01,0.006282022931379161,0.0005472464419088895
diepte_mtaw_whole_entropy,0.005872995422298977,0.0005403582447017812
rf_min,0.005867653019842578,0.0004856945197327536
diepte_whole_mad,0.005731291843910991,0.005663004426718089
diepte_whole_sd,0.005728170975392022,0.0004203111124349761
qtn_q10,0.005696531105708114,0.00029271081312902533
diepte_whole_max,0.00554055035739971,0.0006096893417140441
rf_q90,0.0054986351800825565,0.0005555890928841792
diepte_mtaw_whole_valid_n,0.005213175354144428,0.0010297282486447451
fs_trimmed_mean,0.0050502050186586045,0.00698613467550677
diepte_mtaw_whole_kurtosis,0.004846631269999424,0.0007135838204826378
fr_median,0.004834813466219412,0.0059774718381098
diepte_whole_q10,0.004832164342775535,0.00035894050885470797
diepte_whole_q90,0.004754073380984903,0.0008763511243035827
fr_trimmed_mean,0.004592415936001815,0.005339929629493026
diepte_whole_min,0.004397002979066022,0.0004151482804165232
rf_q99,0.0043463514740685,0.0005485126645913843
fs_median,0.004184010535811122,0.011593838229949145
diepte_whole_trimmed_mean,0.004122778436052865,0.0003099260040355382
fs_sd,0.0039500912590684665,0.005386162542300103
rf_q50,0.003907243190676146,0.0054538812643715705
qtn_min,0.003874191013802286,0.006506367693161286
diepte_whole_mean,0.0038213854124578006,0.0005628098761433941
qtn_valid_n,0.0036053910707372293,0.0004531399291049593
diepte_whole_q50,0.0034499926678431157,0.0005187699642014754
qtn_range,0.003290258280720404,0.00040579502999558184
fs_valid_n,0.003207699691966637,0.00011435538630127348
diepte_median,0.0032036040727180916,0.006725144369676442
qc_mad,0.0031807606575463554,0.00019563391556808268
fr_max,0.0031384021321850366,0.00046699797033025324
diepte_whole_q01,0.0031054152796351265,0.0007933875813695347
qc_valid_n,0.0028911096787733294,0.0002768896240573971
diepte_mtaw_whole_mad,0.0027571814773480917,0.00047893030146063876
diepte_whole_skew,0.002680695804248434,0.00040819586859732203
diepte_whole_range,0.0026694793983678576,0.00045439839160102646
diepte_mtaw_kurtosis,0.0026607643124407997,0.0003673687949883302
qc_range,0.0026123203195616675,0.000253155911637468
fr_q99,0.002543692912935147,0.0004586397107084776
diepte_mtaw_whole_sd,0.0025284408564853144,0.0006962760364299457
qtn_sd,0.0022770208538686054,0.0003138837098128726
rf_valid_n,0.0020660644879994194,0.00042554436924298404
qtn_median,0.002000359061553958,0.007134254435100291
fs_range,0.0018967233254370886,0.00019975604224208702
diepte_mtaw_whole_range,0.0016323916846773256,0.0007230945354565226
diepte_valid_n,0.0016221496301932925,0.0003524974879129274
diepte_mtaw_whole_iqr,0.0016046945856339923,0.0002641662908533973
rf_max,0.00155398004806393,0.0055161404716526415
diepte_mtaw_valid_n,0.0015277217042143798,0.00024702969420370576
fr_cv,0.0014635020193690894,0.0004853357659096415
fr_range,0.0014521519024749186,0.0004873247193579511
diepte_mtaw_whole_skew,0.0014432381913929149,0.0007296251530298067
qc_cv,0.0013970178769309393,0.00025732914917455676
fr_valid_n,0.0013129077141498247,0.00017568438388545398
qtn_iqr,0.0012310367713585179,0.0004986261909761062
fs_mad,0.0011780033357832176,0.00030354619676066497
rf_range,0.0011303251465738962,0.000357761448327516
fr_iqr,0.0010850625704937667,0.0002719578847401792
rf_iqr,0.001016177312643185,0.00012717448113850005
rf_sd,0.0009956992131105792,0.00042625400790039924
qc_sd,0.0009267862368001811,0.00019516616505267612
diepte_entropy,0.000851761803578821,0.0004039837689933927
qtn_cv,0.0007921480459311958,0.00015713890839559477
fr_entropy,0.0007856878922958055,7.872595388236753e-05
fr_mad,0.000714076560753063,0.0002980945196320351
qtn_entropy,0.0006654342770074262,0.00039813646139954314
diepte_range,0.0006122419137571722,9.954645251236377e-05
fs_skew,0.0005930798696656581,0.0001883732110613574
fs_iqr,0.0005863168078867221,0.0003129637494723364
fr_sd,0.0005812964531135556,0.00034981101246836337
